filename,text,position,color,font,size,length,fileLength
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• The main goal of database APIs is to expose an,567,,Arial,25,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,interface through which other parties can utilize the services provided by the DBMS,568,,Calibri,25,82,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Database APIs Proprietary Versus Universal APIs,572,,Calibri,31,46,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• Most DBMS vendors provide a proprietary, DBMS-specific",976,,Arial,25,56,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,API,977,,Calibri,25,3,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– disadvantage is that client applications must be aware of the,978,,Arial,22,63,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,DBMS that will be utilized on the server-side,979,,Calibri,22,45,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• Alternatively, generic, vendor-agnostic universal APIs",980,,Arial,25,56,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"have been proposed,",981,,Calibri,25,19,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– allow to easily port applications to multiple DBMSs,982,,Arial,22,53,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Embedded Versus Call-level APIs,985,,Calibri,31,31,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,APIs can be embedded or call-level,987,,Calibri,21,34,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Embedded API embeds SQL statements in the host programming language, meaning that SQL statement(s) will be part of the source code",989,,Calibri,21,128,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– before the program is compiled, a “SQL pre-compiler” parses the SQL-related",992,,Arial,18,77,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,instructions and replaces these with source code instructions native to the host programming language used,993,,Calibri,18,105,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– converted source code is then sent to the actual compiler,995,,Arial,18,59,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Embedded Versus Call-level APIs,998,,Calibri,31,31,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Advantages of embedded APIs,1000,,Calibri,19,27,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– pre-compiler can perform specific syntax checks – pre-compiler can also perform an early binding step which helps to generate an,1001,,Arial,17,129,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"efficient query plan before the program is run, hence improving performance (see chapter about performance)",1003,,Calibri,17,106,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Disadvantages of embedded APIs,1006,,Calibri,19,30,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– Harder to maintain code,1007,,Arial,17,25,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Embedded database APIs not very popular,1009,,Calibri,19,39,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Example: SQLJ,1011,,Calibri,19,13,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Embedded Versus Call-level APIs,1014,,Calibri,31,31,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Call-level APIs work by passing SQL instructions to the DBMS by means of direct calls to a series of procedures, functions or methods as provided by the API to perform the necessary actions",1016,,Calibri,21,187,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Example: ODBC, Python PyODBC….",1020,,Calibri,21,30,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early Binding Versus Late Binding,1023,,Calibri,31,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"SQL binding refers to the translation of SQL code to a lower-level representation that can be executed by the DBMS, after performing tasks such as validation of table and field names, checking whether the user or client has sufficient access rights, and generating a query plan to access the physical data in the most performant way possible.",1025,,Calibri,21,338,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early versus late binding then refers to the actual moment when this binding step is performed,1031,,Calibri,21,93,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early Binding Versus Late Binding,1035,,Calibri,31,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Early binding is possible in case a pre-compiler is,1036,,Arial,28,53,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,used and can hence only be applied with an embedded API,1037,,Calibri,28,54,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– beneficial in terms of performance – binding only needs to be performed once – pre-compiler can perform specific syntax checks,1039,,Arial,24,126,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early Binding Versus Late Binding,1044,,Calibri,31,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Late binding performs the binding of SQL-statements,1045,,Arial,28,53,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,at runtime,1046,,Calibri,28,10,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– additional flexibility is offered ( “dynamic SQL”) – syntax errors or authorisation issues will remain hidden,1047,,Arial,24,110,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,until the program is executed,1049,,Calibri,24,29,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– testing the application can be harder – less efficient for queries that must be executed multiple,1050,,Arial,24,98,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,times because the execution plan can’t be cached,1052,,Calibri,24,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early Binding Versus Late Binding,1055,,Calibri,31,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• For embedded APIs, the involvement of a pre-",1056,,Arial,28,46,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,compiler implies early binding,1057,,Calibri,28,30,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"• For call-level APIs, late-binding will be used",1058,,Arial,28,48,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– it is possible even when using call-level APIs to pre-compile,1059,,Arial,24,63,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"SQL statements and call these at runtime, by defining such statements as “stored procedures” in the DBMS",1060,,Calibri,24,103,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Early Binding Versus Late Binding,1064,,Calibri,31,33,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Embedded APIs Call-level APIs Early binding (“static” SQL),1065,,Arial,13,55,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Possible if a pre-compiler is used,1069,,Arial,9,34,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Performance benefit, especially when the same query must be executed many times",1071,,Arial,9,78,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Pre-compiler detects errors before the actual execution of the code,1074,,Arial,9,66,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,SQL queries must be known upfront Only possible through stored procedures,1077,,Arial,9,72,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Late binding (“dynamic” SQL),1079,,Arial,13,27,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Not used with embedded APIs Necessary as no pre-compiler is used,1081,,Arial,9,63,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Flexibility benefit: SQL statements can be dynamically generated and used during execution,1084,,Arial,9,89,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Errors are only detected during program execution,1087,,Arial,9,49,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Possibility to use prepared SQL statements to perform binding once during execution,1089,,Arial,9,82,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,Universal Database APIs,1093,,Calibri,31,23,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Many different universal API standards have been,1094,,Arial,28,50,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"proposed over the years, which differ in terms of",1095,,Calibri,28,49,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– embedded or call-level – programming language(s) – functionalities,1096,,Arial,24,66,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ODBC,1101,,Calibri,31,4,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Open DataBase Connectivity (ODBC),1102,,Arial,28,35,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– open standard, developed by Microsoft, with the aim to",1103,,Arial,24,56,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"offer applications a common, uniform interface to various DBMSs",1104,,Calibri,24,62,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ODBC,1108,,Calibri,31,4,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• ODBC consists of 4 main components,1109,,Arial,24,36,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– ODBC API: universal interface through which client,1110,,Arial,19,52,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,applications will interact with a DBMS (a call-level API),1111,,Calibri,19,57,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– ODBC Driver Manager: responsible for selecting the,1112,,Arial,19,52,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,correct Database Driver to communicate with a DBMS,1113,,Calibri,19,50,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– Database Driver: collection of routines that contain the,1114,,Arial,19,58,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,actual code to communicate with a DBMS,1115,,Calibri,19,38,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– Service Provider Interface (SPI): separate interface,1116,,Arial,19,54,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,implemented by the DBMS vendor by which the Driver Manager interacts with various drivers,1117,,Calibri,19,88,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ODBC ODBC,1121,,Calibri,31,8,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• ODBC allows applications to be easily,1808,,Arial,30,39,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ported between DBMSs,1809,,Calibri,30,20,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Disadvantages,1810,,Arial,30,15,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– ODBC is native to Microsoft-based platforms – ODBC is based on the C language (↔ OO) – ODBC middleware introduces an extra layer of,1811,,Arial,24,131,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,indirection (performance ↓),1814,,Calibri,24,27,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,OLE DB and ADO,1817,,Calibri,31,14,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,OLE DB (Object Linking and Embedding for DataBases) was a follow-up specification to ODBC to allow uniform access to a variety of data sources using Microsoft’s Component Object Model (COM),1819,,Calibri,21,186,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"OLE DB also supports object databases, spreadsheets and other data sources",1824,,Calibri,21,73,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Functionality such as querying can be provided by the data provider, but also by other components",1827,,Calibri,21,96,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"As such, OLE DB represents Microsoft’s attempt to move towards a “Universal Data Access” approach",1830,,Calibri,21,96,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,OLE DB and ADO,1834,,Calibri,31,14,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"OLE DB can be combined with ActiveX Data Objects (ADO), which provides a richer, more ‘programmer-friendly’ programming model on top of OLE DB",1836,,Calibri,18,140,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Dim conn As ADODB.Connection Dim recordSet As ADODB.Recordset Set conn = New ADODB.Connection conn.Open(“my_database”) Set qry = “select nr, name from suppliers where status ” Set recordSet = cnn.Execute(qry) Do While Not recordSet.EOF MsgBox(recordSet.Fields(0).Name & “ = “ & recordSet.Fields(0).Value & vbCrLf & _ recordSet.Fields(1).Name & “ = “ & recordSet.Fields(1).Value) recordSet.MoveNext Loop recordSet.Close conn.Close",1839,,Consolas,9,417,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ADO.NET,1854,,Calibri,31,7,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,OLE DB and ADO were merged into ADO.NET (based on the .NET framework),1856,,Calibri,21,68,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"Like OLE DB, ADO.NET breaks down all database-related access features into a set of components.",1859,,Calibri,21,94,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– To access data, ADO.NET offers a series of data providers,",1861,,Arial,18,60,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"which are broken down into a series of objects handling creation of database connections, sending queries and reading results",1862,,Calibri,18,123,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,ADO.NET ADO.NET,1867,,Calibri,31,14,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"String connectionString = “Data Source=(local);Initial Catalog=example;” SqlConnection conn = new SqlConnection(connectionString) conn.Open(); String query1 = “select avg(num_pages) from books”; String query2 = “select title, author from books where num_pages > 30”; SqlCommand command1 = conn.CreateCommand(); SqlCommand command2 = conn.CreateCommand(); command1.CommandText = query1; command2.CommandText = query2; int average_pages = command1.ExecuteScalar(); SqlDataReader dataReader = command2.ExecuteReader(); String title; String author; while (dataReader.Read()) { title = dataReader.GetString(0); author = dataReader.GetString(1); Console.Writeln(title + “ by “ + author); } dataReader.Close(); conn.Close();",2235,,Consolas,10,698,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,JDBC,2257,,Calibri,31,4,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,• Java DataBase Connectivity (JDBC) offers a call-,2258,,Arial,25,50,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,level database API,2259,,Calibri,25,18,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,– inspired by ODBC but developed to be used in Java – high portability and the ability to program in an,2260,,Arial,22,102,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,OO way,2262,,Calibri,22,6,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"– database connections, drivers, queries and results",2263,,Arial,22,52,29623
C:\Users\Maarten Boon\Documents\projects\Title-detection-using-ml\data\train\raw\1._Database_APIs.pdf,"are thus all expressed as objects, based on uniform interfaces and hence exposing a uniform set of methods, no matter which DBMS is utilized",2264,,Calibri,22,138,29623
